Year,CO2,CH4,NOx
2069,27347.21,302.44938,74.0738
2070,26480.66667,300.7649,72.97538571
2071,25368.89667,298.76876,71.93848
2072,24257.12667,296.77262,70.90157429
2073,23145.35667,294.77648,69.86466857
2074,22033.58667,292.78034,68.82776286
2075,20921.81667,290.7842,67.79085714
2076,19810.04667,288.78806,66.75395143
2077,18698.27667,286.79192,65.71704571
2078,17586.50667,284.79578,64.68014
2079,16474.73667,282.79964,63.64323429
2080,15362.96667,280.8035,62.60632857
2081,15373.85667,280.06659,62.44237143
2082,15384.74667,279.32968,62.27841429
2083,15395.63667,278.59277,62.11445714
2084,15406.52667,277.85586,61.9505
2085,15417.41667,277.11895,61.78654286
2086,15428.30667,276.38204,61.62258571
2087,15439.19667,275.64513,61.45862857
2088,15450.08667,274.90822,61.29467143
2089,15460.97667,274.17131,61.13071429
2090,15471.86667,273.4344,60.96675714
2091,15482.75667,272.69682,60.80273429
2092,15493.64667,271.95924,60.63871143
2093,15504.53667,271.22166,60.47468857
2094,15515.42667,270.48408,60.31066571
2095,15526.31667,269.7465,60.14664286
2096,15537.20667,269.00892,59.98262
2097,15548.09667,268.27134,59.81859714
2098,15558.98667,267.53376,59.65457429
2099,15569.87667,266.79618,59.49055143
2100,15580.76667,266.0586,59.32652857
2101,15162.80333,266.0588,59.32652857
2102,14744.84,266.059,59.32652857
2103,14326.87667,266.0592,59.32652857
2104,13908.91333,266.0594,59.32652857
2105,13490.95,266.0596,59.32652857
2106,13072.98667,266.0598,59.32652857
2107,12655.02333,266.06,59.32652857
2108,12237.06,266.0602,59.32652857
2109,11819.09667,266.0604,59.32652857
2110,11401.13333,266.0606,59.32652857
2111,11102.04333,266.06075,59.32652857
2112,10802.95333,266.0609,59.32652857
2113,10503.86333,266.06105,59.32652857
2114,10204.77333,266.0612,59.32652857
2115,9905.683333,266.06135,59.32652857
2116,9606.593333,266.0615,59.32652857
2117,9307.503333,266.06165,59.32652857
2118,9008.413333,266.0618,59.32652857
2119,8709.323333,266.06195,59.32652857
2120,8410.233333,266.0621,59.32652857
2121,8289.343333,266.06224,59.32652857
2122,8168.453333,266.06238,59.32652857
2123,8047.563333,266.06252,59.32652857
2124,7926.673333,266.06266,59.32652857
2125,7805.783333,266.0628,59.32652857
2126,7684.893333,266.06294,59.32652857
2127,7564.003333,266.06308,59.32652857
